regularization_lambda,train_loss
1.0,0.11453549112692263
0.0,0.11350815523609846
10.0,0.11456311494054398
100.0,0.1145652761198384
0.5,0.11450764567576797
5.0,0.11455988500400749
0.1,0.11431607468257424
0.05,0.11414546852068294
50.0,0.11456489020250023
0.01,0.11370823251185402
