max_steps_per_epoch,num_epochs,batch_size,weight_decay,learning_rate,model_name,best_val_accuracy
100,10,64,0.0,0.0005,mlp,0.571671331467413
100,5,64,0.0,0.0001,cnn,0.7558976409436226
100,1,32,0.001,0.0001,mlp,0.3164734106357457
100,10,64,0.001,0.001,cnn,0.8790483806477409
100,5,32,0.0,0.0005,mlp,0.42862854858056776
100,1,64,0.0,0.0001,cnn,0.5886645341863255
100,1,64,0.0,0.0001,mlp,0.33446621351459416
100,10,32,0.001,0.0001,mlp,0.49670131947221113
100,5,64,0.0,0.0005,mlp,0.5181927229108356
100,1,32,0.001,0.0001,cnn,0.5706717313074771
100,1,32,0.001,0.0005,mlp,0.3287684926029588
100,1,64,0.001,0.0005,cnn,0.6641343462614954
100,10,64,0.001,0.0001,mlp,0.5358856457417033
100,10,64,0.0,0.0005,cnn,0.8483606557377049
100,10,64,0.001,0.0005,mlp,0.5600759696121551
100,5,32,0.001,0.0005,mlp,0.3871451419432227
100,10,64,0.001,0.0005,cnn,0.8480607756897242
100,1,64,0.001,0.001,cnn,0.5808676529388245
100,1,32,0.0,0.0005,mlp,0.3141743302678928
100,5,64,0.0,0.0001,mlp,0.4848060775689724
100,10,64,0.0,0.001,cnn,0.8711515393842463
100,1,64,0.0,0.001,cnn,0.6782287085165933
100,10,64,0.001,0.0001,cnn,0.8031787285085965
100,5,64,0.0,0.001,mlp,0.49310275889644145
100,1,32,0.0,0.0001,mlp,0.33696521391443424
100,10,64,0.0,0.001,mlp,0.5577768892443022
100,5,64,0.0,0.001,cnn,0.8185725709716114
100,1,32,0.0,0.0001,cnn,0.49400239904038384
100,1,64,0.001,0.0001,cnn,0.5730707716913235
100,5,32,0.0,0.001,mlp,0.4491203518592563
100,10,32,0.0,0.0001,mlp,0.5031987205117953
100,1,32,0.001,0.0005,cnn,0.6520391843262695
100,10,32,0.0,0.0005,cnn,0.8365653738504598
100,10,32,0.001,0.0005,mlp,0.4842063174730108
100,1,64,0.001,0.001,mlp,0.33806477409036384
100,1,64,0.001,0.0005,mlp,0.34526189524190326
100,1,32,0.001,0.001,mlp,0.3129748100759696
100,5,32,0.0,0.0001,cnn,0.709516193522591
100,1,32,0.0,0.0005,cnn,0.6714314274290284
100,5,32,0.001,0.0001,cnn,0.7224110355857657
100,5,32,0.0,0.001,cnn,0.7603958416633346
100,5,32,0.0,0.0005,cnn,0.7937824870051979
100,5,32,0.001,0.001,cnn,0.7641943222710915
100,10,32,0.0,0.0001,cnn,0.7673930427828869
100,1,64,0.001,0.0001,mlp,0.34606157536985205
100,10,32,0.0,0.0005,mlp,0.5124950019992003
100,10,64,0.0,0.0001,mlp,0.5585765693722511
100,10,64,0.0,0.0001,cnn,0.8082766893242703
100,10,32,0.0,0.001,mlp,0.48600559776089564
100,1,32,0.001,0.001,cnn,0.5296881247501
100,5,64,0.0,0.0005,cnn,0.8210715713714514
100,10,32,0.001,0.0005,cnn,0.8191723310675729
100,5,32,0.001,0.0001,mlp,0.34546181527389047
100,5,32,0.001,0.001,mlp,0.4501199520191923
100,1,32,0.0,0.001,cnn,0.6302479008396641
100,5,32,0.001,0.0005,cnn,0.744202319072371
100,10,32,0.001,0.001,mlp,0.4681127548980408
100,10,32,0.001,0.001,cnn,0.8313674530187924
100,10,32,0.001,0.0001,cnn,0.7722910835665734
100,5,64,0.001,0.001,mlp,0.47580967612954816
100,5,64,0.001,0.0001,cnn,0.7585965613754498
100,10,64,0.001,0.001,mlp,0.5088964414234306
100,5,32,0.0,0.0001,mlp,0.3562574970011995
100,10,32,0.0,0.001,cnn,0.8172730907636945
100,5,64,0.001,0.001,cnn,0.7465013994402239
100,1,64,0.0,0.0005,mlp,0.3363654538184726
100,5,64,0.001,0.0001,mlp,0.46141543382646943
100,1,64,0.0,0.001,mlp,0.3505597760895642
100,1,64,0.0,0.0005,cnn,0.7155137944822071
100,1,32,0.0,0.001,mlp,0.343062774890044
100,5,64,0.001,0.0005,mlp,0.49670131947221113
100,5,64,0.001,0.0005,cnn,0.8079768092762895
